"","GridPop","City","kyc_dens_m","kyc_dens_sd","kyc_n","err_mae","err_rmse","err_mf_sett","kyc_areakm2","label","dat.x","err_mf","cit_pop","cit_dens","cit_area","cen_age","cen_u_cnt","cen_u_area","dat.y","mod_top","mod_bldg","mod_apprch","mod_constr","mod_res"
"1","GPWv4.11","Nairobi",2417,2461,62,2201,3255,0.149,0.0738,"GPWv4.11 (n=62)","gpw",0.183304467068134,4712494,5486.02328288708,859,11,161,5.33540372670807,"gpw",1,0,0,0,1000
"2","GPWv4.11","Lagos",460,678,25,382,747,0.358,0.153,"GPWv4.11 (n=25)","gpw",0.317754748459011,12337227,5401.58800350263,2284,14,17,134.352941176471,"gpw",1,0,0,0,1000
"3","GPWv4.11","Cape Town",1432,1461,26,1242,1898,0.195,0.026,"GPWv4.11 (n=26)","gpw",0.298531768702257,3796316,2195.67148640833,1729,9,5049,0.342444048326401,"gpw",1,0,0,0,1000
"4","GPWv4.11","Davao",456,474,22,320,509,0.39,0.0351,"GPWv4.11 (n=22)","gpw",0.595534511601227,1356277,2843.34800838574,477,10,121,3.94214876033058,"gpw",1,0,0,0,1000
"5","GPWv4.11","Accra",385,413,35,300,470,0.66,1.4273,"GPWv4.11 (n=35)","gpw",0.414436967550458,4786265,2474.80093071355,1934,10,9,214.888888888889,"gpw",1,0,0,0,1000
"6","GPWv4.11","Malabon",1785,710,19,1319,1482,0.258,0.0153,"GPWv4.11 (n=19)","gpw",0.280547440789932,24958274,5121.74717832957,4873,10,3673,581.850746268657,"gpw",1,0,0,0,1000
"7","GPWv4.11","Port Harcourt",1058,694,39,1006,1217,0.052,0.0555,"GPWv4.11 (n=39)","gpw",0.0618769532510801,1381502,4747.4295532646,291,14,2,145.5,"gpw",1,0,0,0,1000
"8","GPWv4.11","Kisumu",228,249,19,169,300,0.319,0.2233,"GPWv4.11 (n=19)","gpw",0.434694244023429,369934,2760.70149253731,134,11,16,8.375,"gpw",1,0,0,0,1000
"9","GPWv4.11","Dar es Salaam",346,223,76,177,238,0.788,0.9434,"GPWv4.11 (n=76)","gpw",0.734099772513592,5644866,5340.45979186377,1057,8,85,12.4352941176471,"gpw",1,0,0,0,1000
"10","GPWv4.11","Kampala",754,683,28,640,923,0.234,0.429,"GPWv4.11 (n=28)","gpw",0.206097445088561,3964522,3681.07892293408,1077,6,16,67.3125,"gpw",1,0,0,0,1000
